title,authors,venue,year,date,type,citations,paper_link
"ファッション特有の曖昧な表現を解釈する Fashion Intelligence System の応用と今後の展開","清水良太郎|斎藤侑輝|後藤正幸",JSAI 2023 (Outstanding Paper Award),2023,Jun 2023,domestic,0,
"Fashion Intelligence System: An Outfit Interpretation Utilizing Images and Rich Abstract Tags","Ryotaro Shimizu|Yuki Saito|Megumi Matsutani|Masayuki Goto",Expert Systems with Applications,2022,Nov 2022,journal,22,
"An Explainable Recommendation Framework Based on an Improved Knowledge Graph Attention Network with Massive Volumes of Side Information","Ryotaro Shimizu|Megumi Matsutani|Masayuki Goto",Knowledge-Based Systems,2021,Dec 2021,journal,78,
"A Latent Class Analysis for Item Demand Based on Temperature Difference and Store Characteristics","Yuto Seko|Ryotaro Shimizu|Gendo Kumoi|Tomohiro Yoshikai|Masayuki Goto",Industrial Engineering & Management Systems,2021,,journal,3,
"Latent Variable Models for Integrated Analysis of Credit and Point Usage History Data on Rewards Credit Card System","Ryotaro Shimizu|Haruka Yamashita|Masao Ueda|Ranna Tanaka|Tetsuya Tachibana|Masayuki Goto",International Business Research,2020,,journal,2,
"How Did the 2015 Political Crisis Affect Nepal in Economic and Social Respects?","Ryotaro Shimizu|Brenda Bushell|Masayuki Goto",Environment and Ecology Research,2019,,journal,0,
"Proposal of a Purchase Behavior Analysis Model on an Electronic Commerce Site Using Questionnaire Data","Ryotaro Shimizu|Teppei Sakamoto|Haruka Yamashita|Masayuki Goto",Total Quality Science,2018,Aug 2018,journal,2,
"ファッション系ECサイトにおける多様な補助情報を有したグラフ構造の学習アルゴリズムに関する一考察","清水良太郎|松谷恵|後藤正幸",日本経営工学会 2021年春季大会,2021,May 2021,domestic,0,
"仮想通貨取引データに対する敵対的生成ネットワークを用いた分類性能向上手法の検討","楊冠宇|清水良太郎|雲居玄道|後藤正幸",日本経営工学会 2021年春季大会,2021,May 2021,domestic,0,
"A discussion on improving fraud detection performance by Generative Adversarial Networks Transactions","Guanyu Yang|Yuki Tsuboi|Ryotaro Shimizu|Gendo Kumoi|Masayuki Goto",The 19th ANQ Congress 2021,2021,Oct 2021,conference,0,
"Uplift Modelingを利用したノンコンプライアンスが存在する状況下での説得可能層の推定","夏堀雄太|清水良太郎|山下遥",D-DATa データ科学オンライン研究発表会,2021,Aug 2021,domestic,0,
"対照群のデータを考慮したTransformed outcome methodによるコンプライアーの予測とその評価に関する研究","夏堀雄太|清水良太郎|山下遥",日本経営システム学会 第67回全国研究発表大会,2021,Nov 2021,domestic,0,
"外部ドメインデータを活用した潜在顧客発見に向けた取り組み","清水良太郎|柳圭祐",CCSE 2021,2021,Dec 2021,domestic,0,
"複数の施策を対象とした処置効果推定手法に関する一考察","坪井優樹|阪井優太|清水良太郎|後藤正幸",情報処理学会 第84回全国大会,2022,Mar 2022,domestic,0,
"Conditional StyleGAN2-adaによるユーザの属性情報を考慮した高評価画像の生成に関する研究","大池樹|清水良太郎|山下遥",情報処理学会 第84回全国大会,2022,Mar 2022,domestic,0,
"ユーザの多様性を考慮したクラスタワイズ型機械学習モデルの提案とその解釈方法に関する研究","三池可奈|清水良太郎|山下遥",情報処理学会 第84回全国大会,2022,Mar 2022,domestic,0,
"隠れセミマルコフモデルに基づくユーザの嗜好持続性を考慮した商品分析手法に関する一考察","土屋希琳|坪井優樹|清水良太郎|後藤正幸",人工知能学会全国大会（第36回）,2022,Jun 2022,domestic,0,
"A study on generation of images with many likes by Conditional StyleGAN2-ada considering user attribute information","Oike Tatsuki|Haruka Yamashita|Ryotaro Shimizu",Asian Network for Quality Congress 2022,2022,Oct 2022,conference,0,
"A study on cluster-wise XGBoost model considering user diversity and its interpretation approach","Kana Mitsubashi|Haruka Yamashita|Ryotaro Shimizu",Asian Network for Quality Congress 2022,2022,Oct 2022,conference,0,
"A method for item analysis considering duration of user interests based on a hidden semi-markov model","Kirin Tsuchiya|Yuki Tsuboi|Ryotaro Shimizu|Masayuki Goto",Asian Network for Quality Congress 2022,2022,Oct 2022,conference,0,
"機械学習に基づくファッション特有の曖昧な表現を自動的に解釈するためのシステム","清水良太郎|斎藤侑輝|松谷恵|後藤正幸",日本経営工学会 秋季大会,2022,Nov 2022,domestic,0,
"埋め込み空間における推薦領域を考慮した推薦アイテム獲得手法の提案","天野智貴|清水良太郎|後藤正幸",日本経営工学会 秋季大会,2022,Nov 2022,domestic,0,
"Guided LDAによるファッションテーマの抽出及び推薦への応用","古田博也|山下遥|清水良太郎",日本経営工学会 秋季大会,2022,Nov 2022,domestic,0,
"CNNを用いた能動学習におけるラベル付与データの選択手法に関する一考察","益田恵里花|山田晃輝|清水良太郎|後藤正幸",日本計算機統計学会 第36回シンポジウム,2022,Nov 2022,domestic,0,
"複数のECマーケティング施策を対象とした観察データに基づく効果推定手法","坪井優樹|阪井優太|清水良太郎|後藤正幸",情報理論とその応用シンポジウム (SITA),2022,Nov 2022,domestic,0,
"知識グラフと強化学習に基づく説明可能な推薦のための効率的な経路探索アルゴリズム","楊冠宇|清水良太郎|山極綾子|後藤正幸",情報理論とその応用シンポジウム (SITA),2022,Nov 2022,domestic,0,
"Multiple Treatment Effect Estimation for E-commerce Marketing Using Observational Data","Yuki Tsuboi|Yuta Sakai|Ryotaro Shimizu|Masayuki Goto",APIEMS 2022,2022,Dec 2022,conference,0,
"Extraction of fashion themes focusing hashtags based on Guided LDA","Hiroya Furuta|Haruka Yamashita|Ryotaro Shimizu",APIEMS 2022,2022,Dec 2022,conference,0,
"Recommendation Item Selection Algorithm Considering the Recommendation Region in the Embedding Space","Tomoki Amano|Ryotaro Shimizu|Masayuki Goto",APIEMS 2022,2022,Dec 2022,conference,0,
"An Efficient Path Search Algorithm for Explainable Recommendation Based on Knowledge Graph and Reinforcement Learning","Guanyu Yang|Ryotaro Shimizu|Ayako Yamagiwa|Masayuki Goto",APIEMS 2022,2022,Dec 2022,conference,0,
"Recommendation Item Selection Algorithm Considering the Recommendation Region in the Embedding Space","Tomoki Amano|Ryotaro Shimizu|Masayuki Goto",Industrial Engineering & Management Systems,2023,,journal,0,
"ユーザの潜在的な購買意欲を考慮した機械学習モデルに基づくクーポン配布施策の効果検証モデル","米田安希子|清水良太郎|桜井詩音|川田心|山下遥|後藤正幸",JSAI 2023,2023,Jun 2023,domestic,0,
"画像情報及び言語情報に基づくファッションコーディネート投稿の推薦","岩井理紗|清水良太郎|山下遥",JSAI 2023,2023,Jun 2023,domestic,0,
"FT-Transformerの精度向上と効率化に関する一考察","磯村時将|天野智貴|清水良太郎|後藤正幸",JSAI 2023,2023,Jun 2023,domestic,0,
"レビュー文書データを対象としたBERTとSHAPによる評価値向上要因分析モデル","渡邊真己子|山田晃輝|清水良太郎|鈴木佐俊|後藤正幸",JSAI 2023,2023,Jun 2023,domestic,0,
"最大次数が未知の多項式回帰モデルに対するスパース推定に関する一考察","井上一磨|清水良太郎|須子統太|後藤正幸",MPS研究会,2023,Jun 2023,domestic,0,
"A Study on Performance Improvement and Interpretability of FT-Transformer","Tokimasa Isomura|Tomoki Amano|Ryotaro Shimizu|Masayuki Goto",Asian Network for Quality Congress 2023,2023,Oct 2023,conference,0,
"Factor Analysis Framework of Review Data based on BERT and SHAP for Improving Customer Satisfaction","Mamiko Watanabe|Koki Yamada|Ryotaro Shimizu|Satoshi Suzuki|Masayuki Goto",Asian Network for Quality Congress 2023,2023,Oct 2023,conference,0,
"Machine Learning Based Experimental Design and Effectiveness Verification for Coupon Measures with Different Discount Amounts","Akiko Yoneda|Ryotaro Shimizu|Shion Sakurai|Shin Kawata|Haruka Yamashita|Masayuki Goto",APIEMS 2023,2023,Oct 2023,conference,0,
"A Study on Recommendation of Fashion Coordination Posts Based on Image and Linguistic Information","Risa Iwai|Ryotaro Shimizu|Haruka Yamashita",APIEMS 2023,2023,Oct 2023,conference,0,
"A Study on Image Generation Considering User Attribute Information by VQ-Conditional StyleGAN2","Oike Tatsuki|Ryotaro Shimizu|Haruka Yamashita",APIEMS 2023,2023,Oct 2023,conference,0,
"An Improved Algorithm Based on Self-Supervised Learning for Multi-Tag Prediction of Extreme Weather Events","Tomoki Amano|Ryotaro Shimizu|Masayuki Goto",APIEMS 2023,2023,Oct 2023,conference,0,
"A Novel Latent Class Model for Estimating the Relationship Between User Preferences and Item Image Features","Kirin Tsuchiya|Ryotaro Shimizu|Masayuki Goto",APIEMS 2023,2023,Oct 2023,conference,0,
"機械学習に基づく複数種類のクーポン配布施策の実験計画および効果検証モデル","米田安希子|清水良太郎|桜井詩音|川田心|山下遥|後藤正幸",SITA 2023,2023,Nov 2023,domestic,0,
"マルチタスク学習に基づく極端な気象タグの予測アルゴリズムに関する一考察","天野智貴|清水良太郎|後藤正幸|吉開朋弘",SITA 2023,2023,Nov 2023,domestic,0,
"顧客の嗜好と商品画像特徴量の関係性を推定する新たな潜在クラスモデルの提案","土屋希琳|清水良太郎|後藤正幸",SITA 2023,2023,Nov 2023,domestic,0,
"画像言語モデルに基づく曖昧なファッション特有の表現を解釈するシステム","清水良太郎|斎藤侑輝|後藤正幸",CCSE 2023,2023,Dec 2023,domestic,0,
"商品階層を自動構造化するトピックモデルの提案と小売販売データ分析への適用","藤田梓子|清水良太郎|石井達也|磯村時将|米田安希子|後藤正幸",データ解析コンペティション JIMA予選会,2024,Feb 2024,domestic,0,
"商品階層を自動構造化するトピックモデルの提案と小売販売データ分析への適用","藤田梓子|清水良太郎|石井達也|磯村時将|米田安希子|後藤正幸",データ解析コンペティション 決勝大会,2024,Mar 2024,domestic,0,
"Instance AttributionとFeature Attributionの一貫性制約を満たす集合関数の局所説明法","吉川友也|木村正成|清水良太郎|斎藤侑輝",JSAI 2024,2024,May 2024,domestic,0,
